Country,Day,Daily cases,Total confirmed cases,Daily deaths,Total deaths
Democratic Republic of Congo,44682,0,0,0,0
Democratic Republic of Congo,44683,0,0,0,0
Democratic Republic of Congo,44684,0,0,0,0
Democratic Republic of Congo,44685,0,0,0,0
Democratic Republic of Congo,44686,0,0,0,0
Democratic Republic of Congo,44687,0,0,0,0
Democratic Republic of Congo,44688,0,0,0,0
Democratic Republic of Congo,44689,0,0,0,0
Democratic Republic of Congo,44690,0,0,0,0
Democratic Republic of Congo,44691,0,0,0,0
Democratic Republic of Congo,44692,0,0,0,0
Democratic Republic of Congo,44693,0,0,0,0
Democratic Republic of Congo,44694,0,0,0,0
Democratic Republic of Congo,44695,0,0,0,0
Democratic Republic of Congo,44696,0,0,0,0
Democratic Republic of Congo,44697,0,0,0,0
Democratic Republic of Congo,44698,0,0,0,0
Democratic Republic of Congo,44699,0,0,0,0
Democratic Republic of Congo,44700,0,0,0,0
Democratic Republic of Congo,44701,0,0,0,0
Democratic Republic of Congo,44702,0,0,0,0
Democratic Republic of Congo,44703,10,10,0,0
Democratic Republic of Congo,44704,0,10,0,0
Democratic Republic of Congo,44705,0,10,0,0
Democratic Republic of Congo,44706,0,10,0,0
Democratic Republic of Congo,44707,0,10,0,0
Democratic Republic of Congo,44708,0,10,0,0
Democratic Republic of Congo,44709,0,10,0,0
Democratic Republic of Congo,44710,0,10,0,0
Democratic Republic of Congo,44711,0,10,0,0
Democratic Republic of Congo,44712,0,10,0,0
Democratic Republic of Congo,44713,0,10,0,0
Democratic Republic of Congo,44714,0,10,0,0
Democratic Republic of Congo,44715,0,10,0,0
Democratic Republic of Congo,44716,0,10,0,0
Democratic Republic of Congo,44717,0,10,0,0
Democratic Republic of Congo,44718,0,10,0,0
Democratic Republic of Congo,44719,0,10,0,0
Democratic Republic of Congo,44720,0,10,0,0
Democratic Republic of Congo,44721,0,10,0,0
Democratic Republic of Congo,44722,0,10,0,0
Democratic Republic of Congo,44723,0,10,0,0
Democratic Republic of Congo,44724,0,10,0,0
Democratic Republic of Congo,44725,0,10,0,0
Democratic Republic of Congo,44726,0,10,0,0
Democratic Republic of Congo,44727,0,10,0,0
Democratic Republic of Congo,44728,0,10,0,0
Democratic Republic of Congo,44729,0,10,0,0
Democratic Republic of Congo,44730,0,10,0,0
Democratic Republic of Congo,44731,90,100,0,0
Democratic Republic of Congo,44732,0,100,0,0
Democratic Republic of Congo,44733,0,100,0,0
Democratic Republic of Congo,44734,0,100,0,0
Democratic Republic of Congo,44735,0,100,0,0
Democratic Republic of Congo,44736,0,100,0,0
Democratic Republic of Congo,44737,0,100,0,0
Democratic Republic of Congo,44738,0,100,0,0
Democratic Republic of Congo,44739,0,100,0,0
Democratic Republic of Congo,44740,0,100,0,0
Democratic Republic of Congo,44741,0,100,0,0
Democratic Republic of Congo,44742,0,100,0,0
Democratic Republic of Congo,44743,0,100,0,0
Democratic Republic of Congo,44744,0,100,0,0
Democratic Republic of Congo,44745,0,100,0,0
Democratic Republic of Congo,44746,0,100,0,0
Democratic Republic of Congo,44747,0,100,0,0
Democratic Republic of Congo,44748,0,100,0,0
Democratic Republic of Congo,44749,0,100,0,0
Democratic Republic of Congo,44750,0,100,0,0
Democratic Republic of Congo,44751,0,100,0,0
Democratic Republic of Congo,44752,0,100,0,0
Democratic Republic of Congo,44753,0,100,0,0
Democratic Republic of Congo,44754,0,100,0,0
