Country,Day,Daily cases,Total confirmed cases,,,,,,,,,,,
Burundi,45492.00,,,,,,,,,,,,,
Burundi,45494.00,0,0,,,,,,,,,,,
Burundi,45495.00,0,0,,,,,,,,,,,
Burundi,45496.00,0,0,,,,,,,,,,,
Burundi,45497.00,0,0,,,,,,,,,,,
Burundi,45498.00,0,0,,,,,,,,,,,
Burundi,45499.00,0,0,,,,,,,,,,,
Burundi,45500.00,0,0,,,,,,,,,,,
Burundi,45501.00,9,9,,,,,,,,,,,
Burundi,45502.00,0,9,,,,,,,,,,,
Burundi,45503.00,0,9,,,,,,,,,,,
Burundi,45504.00,0,9,,,,,,,,,,,
Burundi,45505.00,0,9,,,,,,,,,,,
Burundi,45506.00,0,9,,,,,,,,,,,
Burundi,45507.00,0,9,,,,,,,,,,,
Burundi,45508.00,31,40,,,,,,,,,,,
Burundi,45509.00,0,40,,,,,,,,,,,
Burundi,45510.00,0,40,,,,,,,,,,,
Burundi,45511.00,0,40,,,,,,,,,,,
Burundi,45512.00,0,40,,,,,,,,,,,
Burundi,45513.00,0,40,,,,,,,,,,,
Burundi,45514.00,0,40,,,,,,,,,,,
Burundi,45515.00,43,83,,,,,,,,,,,
Burundi,45516.00,0,83,,,,,,,,,,,
Burundi,45517.00,0,83,,,,,,,,,,,
Burundi,45518.00,0,83,,,,,,,,,,,
Burundi,45519.00,0,83,,,,,,,,,,,
Burundi,45520.00,0,83,,,,,,,,,,,
Burundi,45521.00,0,83,,,,,,,,,,,
Burundi,45522.00,70,153,,,,,,,,,,,
Burundi,45523.00,0,153,,,,,,,,,,,
Burundi,45524.00,0,153,,,,,,,,,,,
Burundi,45525.00,0,153,,,,,,,,,,,
Burundi,45526.00,0,153,,,,,,,,,,,
Burundi,45527.00,0,153,,,,,,,,,,,
Burundi,45528.00,0,153,,,,,,,,,,,
Burundi,45529.00,78,231,,,,,,,,,,,
Burundi,45530.00,0,231,,,,,,,,,,,
Burundi,45531.00,0,231,,,,,,,,,,,
Burundi,45532.00,0,231,,,,,,,,,,,
Burundi,45533.00,0,231,,,,,,,,,,,
Burundi,45534.00,0,231,,,,,,,,,,,
Burundi,45535.00,0,231,,,,,,,,,,,
Burundi,45536.00,97,328,,,,,,,,,,,
Burundi,45537.00,0,328,,,,,,,,,,,
Burundi,45538.00,0,328,,,,,,,,,,,
Burundi,45539.00,0,328,,,,,,,,,,,
Burundi,45540.00,0,328,,,,,,,,,,,
Burundi,45541.00,0,328,,,,,,,,,,,
Burundi,45542.00,0,328,,,,,,,,,,,
Burundi,45543.00,57,385,,,,,,,,,,,
Burundi,45544.00,0,385,,,,,,,,,,,
Burundi,45545.00,0,385,,,,,,,,,,,
Burundi,45546.00,0,385,,,,,,,,,,,
Burundi,45547.00,0,385,,,,,,,,,,,
Burundi,45548.00,0,385,,,,,,,,,,,
Burundi,45549.00,0,385,,,,,,,,,,,
Burundi,45550.00,179,564,,,,,,,,,,,
Burundi,45551.00,0,564,,,,,,,,,,,
Burundi,45552.00,0,564,,,,,,,,,,,
Burundi,45553.00,0,564,,,,,,,,,,,
Burundi,45554.00,0,564,,,,,,,,,,,
Burundi,45555.00,0,564,,,,,,,,,,,
Burundi,45556.00,0,564,,,,,,,,,,,
Burundi,45557.00,132,696,,,,,,,,,,,
Burundi,45558.00,0,696,,,,,,,,,,,
Burundi,45559.00,0,696,,,,,,,,,,,
Burundi,45560.00,0,696,,,,,,,,,,,
Burundi,45561.00,0,696,,,,,,,,,,,
Burundi,45562.00,0,696,,,,,,,,,,,
Burundi,45563.00,0,696,,,,,,,,,,,
Burundi,45564.00,157,853,,,,,,,,,,,
Burundi,45565.00,0,853,,,,,,,,,,,
Burundi,45566.00,0,853,,,,,,,,,,,
Burundi,45567.00,0,853,,,,,,,,,,,
Burundi,45568.00,0,853,,,,,,,,,,,
Burundi,45569.00,0,853,,,,,,,,,,,
Burundi,45570.00,0,853,,,,,,,,,,,
Burundi,45571.00,134,987,,,,,,,,,,,
Burundi,45572.00,0,987,,,,,,,,,,,
Burundi,45573.00,0,987,,,,,,,,,,,
Burundi,45574.00,0,987,,,,,,,,,,,
Burundi,45575.00,0,987,,,,,,,,,,,
Burundi,45576.00,0,987,,,,,,,,,,,
Burundi,45577.00,0,987,,,,,,,,,,,
Burundi,45578.00,183,1170,,,,,,,,,,,
Burundi,45579.00,0,1170,,,,,,,,,,,
Burundi,45580.00,0,1170,,,,,,,,,,,
Burundi,45581.00,0,1170,,,,,,,,,,,
