Country,Day,Daily.cases
Democratic Republic of Congo,45292,0
Democratic Republic of Congo,45293,0
Democratic Republic of Congo,45294,0
Democratic Republic of Congo,45295,0
Democratic Republic of Congo,45296,0
Democratic Republic of Congo,45297,0
Democratic Republic of Congo,45298,58
Democratic Republic of Congo,45299,0
Democratic Republic of Congo,45300,0
Democratic Republic of Congo,45301,0
Democratic Republic of Congo,45302,0
Democratic Republic of Congo,45303,0
Democratic Republic of Congo,45304,0
Democratic Republic of Congo,45305,72
Democratic Republic of Congo,45306,0
Democratic Republic of Congo,45307,0
Democratic Republic of Congo,45308,0
Democratic Republic of Congo,45309,0
Democratic Republic of Congo,45310,0
Democratic Republic of Congo,45311,0
Democratic Republic of Congo,45312,86
Democratic Republic of Congo,45313,0
Democratic Republic of Congo,45314,0
Democratic Republic of Congo,45315,0
Democratic Republic of Congo,45316,0
Democratic Republic of Congo,45317,0
Democratic Republic of Congo,45318,0
Democratic Republic of Congo,45319,106
Democratic Republic of Congo,45320,0
Democratic Republic of Congo,45321,0
Democratic Republic of Congo,45322,0
Democratic Republic of Congo,45323,0
Democratic Republic of Congo,45324,0
Democratic Republic of Congo,45325,0
Democratic Republic of Congo,45326,68
Democratic Republic of Congo,45327,0
Democratic Republic of Congo,45328,0
Democratic Republic of Congo,45329,0
Democratic Republic of Congo,45330,0
Democratic Republic of Congo,45331,0
Democratic Republic of Congo,45332,0
Democratic Republic of Congo,45333,92
Democratic Republic of Congo,45334,0
Democratic Republic of Congo,45335,0
Democratic Republic of Congo,45336,0
Democratic Republic of Congo,45337,0
Democratic Republic of Congo,45338,0
Democratic Republic of Congo,45339,0
Democratic Republic of Congo,45340,64
Democratic Republic of Congo,45341,0
Democratic Republic of Congo,45342,0
Democratic Republic of Congo,45343,0
Democratic Republic of Congo,45344,0
Democratic Republic of Congo,45345,0
Democratic Republic of Congo,45346,0
Democratic Republic of Congo,45347,65
Democratic Republic of Congo,45348,0
Democratic Republic of Congo,45349,0
Democratic Republic of Congo,45350,0
Democratic Republic of Congo,45351,0
Democratic Republic of Congo,45352,0
Democratic Republic of Congo,45353,0
Democratic Republic of Congo,45354,82
Democratic Republic of Congo,45355,0
Democratic Republic of Congo,45356,0
Democratic Republic of Congo,45357,0
Democratic Republic of Congo,45358,0
Democratic Republic of Congo,45359,0
Democratic Republic of Congo,45360,0
Democratic Republic of Congo,45361,65
Democratic Republic of Congo,45362,0
Democratic Republic of Congo,45363,0
Democratic Republic of Congo,45364,0
Democratic Republic of Congo,45365,0
Democratic Republic of Congo,45366,0
Democratic Republic of Congo,45367,0
Democratic Republic of Congo,45368,72
Democratic Republic of Congo,45369,0
Democratic Republic of Congo,45370,0
Democratic Republic of Congo,45371,0
Democratic Republic of Congo,45372,0
Democratic Republic of Congo,45373,0
Democratic Republic of Congo,45374,0
Democratic Republic of Congo,45375,82
Democratic Republic of Congo,45376,0
Democratic Republic of Congo,45377,0
Democratic Republic of Congo,45378,0
Democratic Republic of Congo,45379,0
Democratic Republic of Congo,45380,0
Democratic Republic of Congo,45381,0
Democratic Republic of Congo,45382,71
Democratic Republic of Congo,45383,0
Democratic Republic of Congo,45384,0
Democratic Republic of Congo,45385,0
Democratic Republic of Congo,45386,0
Democratic Republic of Congo,45387,0
Democratic Republic of Congo,45388,0
