Country,Day,Daily cases,Total confirmed cases,Daily deaths,Total deaths
Uganda,45536.00,4,15,0,0
Uganda,45537.00,0,15,0,0
Uganda,45538.00,0,15,0,0
Uganda,45539.00,0,15,0,0
Uganda,45540.00,0,15,0,0
Uganda,45541.00,0,15,0,0
Uganda,45542.00,0,15,0,0
Uganda,45543.00,8,23,0,0
Uganda,45544.00,0,23,0,0
Uganda,45545.00,0,23,0,0
Uganda,45546.00,0,23,0,0
Uganda,45547.00,0,23,0,0
Uganda,45548.00,0,23,0,0
Uganda,45549.00,0,23,0,0
Uganda,45550.00,6,29,0,0
Uganda,45551.00,0,29,0,0
Uganda,45552.00,0,29,0,0
Uganda,45553.00,0,29,0,0
Uganda,45554.00,0,29,0,0
Uganda,45555.00,0,29,0,0
Uganda,45556.00,0,29,0,0
Uganda,45557.00,6,35,0,0
Uganda,45558.00,0,35,0,0
Uganda,45559.00,0,35,0,0
Uganda,45560.00,0,35,0,0
Uganda,45561.00,0,35,0,0
Uganda,45562.00,0,35,0,0
Uganda,45563.00,0,35,0,0
Uganda,45564.00,14,49,0,0
Uganda,45565.00,0,49,0,0
Uganda,45566.00,0,49,0,0
Uganda,45567.00,0,49,0,0
Uganda,45568.00,0,49,0,0
Uganda,45569.00,0,49,0,0
Uganda,45570.00,0,49,0,0
Uganda,45571.00,20,69,0,0
Uganda,45572.00,0,69,0,0
Uganda,45573.00,0,69,0,0
Uganda,45574.00,0,69,0,0
Uganda,45575.00,0,69,0,0
Uganda,45576.00,0,69,0,0
Uganda,45577.00,0,69,0,0
Uganda,45578.00,37,106,0,0
Uganda,45579.00,0,106,0,0
Uganda,45580.00,0,106,0,0
Uganda,45581.00,0,106,0,0
Uganda,45582.00,0,106,0,0
Uganda,45583.00,0,106,0,0
Uganda,45584.00,0,106,0,0
Uganda,45585.00,47,153,0,0
Uganda,45586.00,0,153,0,0
Uganda,45587.00,0,153,0,0
Uganda,45588.00,0,153,0,0
Uganda,45589.00,0,153,0,0
Uganda,45590.00,0,153,0,0
Uganda,45591.00,0,153,0,0
Uganda,45592.00,137,290,1,1
Uganda,45593.00,0,290,0,1
Uganda,45594.00,0,290,0,1
Uganda,45595.00,0,290,0,1
Uganda,45596.00,0,290,0,1
Uganda,45597.00,0,290,0,1
Uganda,45598.00,0,290,0,1
Uganda,45599.00,97,387,0,1
Uganda,45600.00,0,387,0,1
Uganda,45601.00,0,387,0,1
Uganda,45602.00,0,387,0,1
Uganda,45603.00,0,387,0,1
Uganda,45604.00,0,387,0,1
Uganda,45605.00,56,443,0,1
Uganda,45606.00,0,443,0,1
