Country,Day,Daily.cases
United States,44691,6
United States,44692,0
United States,44693,0
United States,44694,0
United States,44695,0
United States,44696,0
United States,44697,0
United States,44698,18
United States,44699,0
United States,44700,0
United States,44701,0
United States,44702,0
United States,44703,0
United States,44704,0
United States,44705,15
United States,44706,0
United States,44707,0
United States,44708,0
United States,44709,0
United States,44710,0
United States,44711,0
United States,44712,52
United States,44713,0
United States,44714,0
United States,44715,0
United States,44716,0
United States,44717,0
United States,44718,0
United States,44719,98
United States,44720,0
United States,44721,0
United States,44722,0
United States,44723,0
United States,44724,0
United States,44725,0
United States,44726,194
United States,44727,0
United States,44728,0
United States,44729,0
United States,44730,0
United States,44731,0
United States,44732,0
United States,44733,341
United States,44734,0
United States,44735,0
United States,44736,0
United States,44737,0
United States,44738,0
United States,44739,0
United States,44740,715
United States,44741,0
United States,44742,0
United States,44743,0
United States,44744,0
United States,44745,0
United States,44746,0
United States,44747,1277
United States,44748,0
United States,44749,0
United States,44750,0
United States,44751,0
United States,44752,0
United States,44753,0
United States,44754,2001
United States,44755,0
United States,44756,0
United States,44757,0
United States,44758,0
United States,44759,0
United States,44760,0
United States,44761,2375
United States,44762,0
United States,44763,0
United States,44764,0
United States,44765,0
United States,44766,0
United States,44767,0
United States,44768,2956
United States,44769,0
United States,44770,0
United States,44771,0
United States,44772,0
United States,44773,0
United States,44774,0
United States,44775,3270
United States,44776,0
United States,44777,0
United States,44778,0
United States,44779,0
United States,44780,0
United States,44781,0
United States,44782,2942
United States,44783,0
United States,44784,0
United States,44785,0
United States,44786,0
United States,44787,0
United States,44788,0
United States,44789,2663
United States,44790,0
United States,44791,0
United States,44792,0
United States,44793,0
United States,44794,0
United States,44795,0
United States,44796,2158
United States,44797,0
United States,44798,0
United States,44799,0
United States,44800,0
United States,44801,0
United States,44802,0
United States,44803,1838
United States,44804,0
United States,44805,0
United States,44806,0
United States,44807,0
United States,44808,0
United States,44809,0
United States,44810,1515
United States,44811,0
United States,44812,0
United States,44813,0
United States,44814,0
United States,44815,0
United States,44816,0
United States,44817,1220
United States,44818,0
United States,44819,0
United States,44820,0
United States,44821,0
United States,44822,0
United States,44823,0
United States,44824,895
United States,44825,0
United States,44826,0
United States,44827,0
United States,44828,0
United States,44829,0
United States,44830,0
United States,44831,722
United States,44832,0
United States,44833,0
United States,44834,0
United States,44835,0
United States,44836,0
United States,44837,0
United States,44838,560
United States,44839,0
United States,44840,0
United States,44841,0
United States,44842,0
United States,44843,0
United States,44844,0
United States,44845,473
United States,44846,0
United States,44847,0
United States,44848,0
United States,44849,0
United States,44850,0
United States,44851,0
United States,44852,364
United States,44853,0
United States,44854,0
United States,44855,0
United States,44856,0
